utterance,focus_type,speaker,onglide_log,onglide
37,narrow,CH_97,0.663700925,3.61
40,contrastive,CH_97,0.631443769,3.28
41,broad,CH_97,0.100370545,0.26
46,broad,CH_97,0.418301291,1.62
48,broad,CH_97,0.477121255,2
49,contrastive,CH_97,0.761927838,4.78
50,broad,CH_97,0.240549248,0.74
51,contrastive,CH_97,0.672097858,3.7
53,narrow,CH_97,0.787460475,5.13
55,narrow,CH_97,0.720159303,4.25
56,contrastive,CH_97,0.562292864,2.65
57,contrastive,CH_97,0.746634199,4.58
58,broad,CH_97,0.209515015,0.62
59,contrastive,CH_97,0.697229343,3.98
60,narrow,CH_97,0.64246452,3.39
62,narrow,CH_97,0.72916479,4.36
63,broad,CH_97,0.482873584,2.04
64,contrastive,CH_97,0.641474111,3.38
65,contrastive,CH_97,0.711807229,4.15
67,contrastive,CH_97,0.799340549,5.3
68,narrow,CH_97,0.697229343,3.98
69,narrow,CH_97,0.705007959,4.07
71,contrastive,CH_97,0.696356389,3.97
72,broad,CH_97,0.487138375,2.07
73,narrow,CH_97,0.768638101,4.87
74,broad,CH_97,0.437750563,1.74
76,broad,CH_97,0.660865478,3.58
78,narrow,CH_97,0.760422483,4.76
79,contrastive,CH_97,0.681241237,3.8
80,narrow,CH_97,0.745855195,4.57
81,contrastive,CH_97,0.719331287,4.24
82,contrastive,CH_97,0.593286067,2.92
83,narrow,CH_97,0.675778342,3.74
85,contrastive,CH_97,0.790285164,5.17
87,broad,CH_97,0.426511261,1.67
88,narrow,CH_97,0.79518459,5.24
90,broad,CH_97,0.431363764,1.7
91,narrow,CH_97,0.81756537,5.57
92,contrastive,CH_97,0.698100546,3.99
93,broad,CH_97,0.482873584,2.04
95,contrastive,CH_97,0.781036939,5.04
96,broad,CH_97,0.784617293,5.09
98,broad,CH_97,0.480006943,2.02
99,contrastive,CH_97,0.793790385,5.22
102,broad,CH_97,0.478566496,2.01
103,narrow,CH_97,0.46834733,1.94
18,contrastive,CS_94,-0.703291378,-4.05
20,contrastive,CS_94,0.075546961,0.19
22,narrow,CS_94,-0.824776462,-5.68
23,broad,CS_94,-0.625312451,-3.22
24,narrow,CS_94,-0.604226053,-3.02
25,contrastive,CS_94,-0.755112266,-4.69
26,broad,CS_94,-0.750508395,-4.63
27,narrow,CS_94,-0.607455023,-3.05
28,narrow,CS_94,-0.774516966,-4.95
29,contrastive,CS_94,-0.923761961,-7.39
30,contrastive,CS_94,-0.700703717,-4.02
32,broad,CS_94,-0.681241237,-3.8
34,broad,CS_94,-0.822821645,-5.65
35,contrastive,CS_94,-0.671172843,-3.69
36,contrastive,CS_94,-0.507855872,-2.22
38,broad,CS_94,-0.746634199,-4.58
39,broad,CS_94,-0.480006943,-2.02
42,contrastive,CS_94,-0.607455023,-3.05
43,narrow,CS_94,-0.588831726,-2.88
44,contrastive,CS_94,-0.574031268,-2.75
45,narrow,CS_94,-0.945960704,-7.83
46,contrastive,CS_94,0.176091259,0.5
47,narrow,CS_94,-0.546542663,-2.52
49,narrow,CS_94,-0.907948522,-7.09
50,contrastive,CS_94,NA,NA
52,broad,CS_94,-0.826074803,-5.7
53,narrow,CS_94,-0.707570176,-4.1
54,narrow,CS_94,-0.658964843,-3.56
56,contrastive,CS_94,-0.615950052,-3.13
57,broad,CS_94,-0.397940009,-1.5
59,narrow,CS_94,-0.711807229,-4.15
60,broad,CS_94,-0.831869774,-5.79
61,narrow,CS_94,-0.758154622,-4.73
63,broad,CS_94,-0.824776462,-5.68
64,narrow,CS_94,-0.62838893,-3.25
65,broad,CS_94,-0.421603927,-1.64
66,contrastive,CS_94,-0.678518379,-3.77
68,contrastive,CS_94,-0.693726949,-3.94
69,broad,CS_94,-0.82672252,-5.71
70,contrastive,CS_94,-0.723455672,-4.29
71,broad,CS_94,-0.814247596,-5.52
72,contrastive,CS_94,-0.553883027,-2.58
73,narrow,CS_94,-0.574031268,-2.75
74,narrow,CS_94,-0.899273187,-6.93
75,contrastive,CS_94,-0.772321707,-4.92
76,narrow,CS_94,-0.95230801,-7.96
78,narrow,CS_94,-0.876217841,-6.52
79,broad,CS_94,-0.614897216,-3.12
80,contrastive,CS_94,-0.831869774,-5.79
81,broad,CS_94,-0.640481437,-3.37
82,narrow,CS_94,-0.811575006,-5.48
83,broad,CS_94,-0.648360011,-3.45
84,broad,CS_94,-0.742725131,-4.53
86,narrow,CS_94,-0.706717782,-4.09
87,broad,CS_94,-0.86332286,-6.3
89,broad,CS_94,-0.698970004,-4
91,contrastive,CS_94,-0.6599162,-3.57
94,contrastive,CS_94,-0.749736316,-4.62
96,narrow,CS_94,-0.802773725,-5.35
